"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FAR1",-0.926697539147044,7.62720625232164,-6.42835230088445,1.64795807772413e-06,0.000481839399668283,5.27016173493152
"SH2D1B",-0.988066099932272,4.56896058252714,-6.41393640896032,1.70381393311965e-06,0.000491154362945914,5.23861426722288
"GIMAP6",-2.16634861783247,9.03571224092564,-6.4020329481733,1.7513924496573e-06,0.000497857628710222,5.21254409203253
"S100A3",-1.79673883713962,7.20499818246973,-6.39072424052369,1.79785225946998e-06,0.00049814418919764,5.18775907273372
"B4GALT7",0.620218035567166,7.20687621226138,6.38995011784978,1.80107832123054e-06,0.00049814418919764,5.1860618268366
"RILPL2",-1.06599415836904,10.2169375369083,-6.38089246387788,1.83926770585664e-06,0.000501923895143571,5.16619723779315
"TTC7A",-0.402083495202998,6.44174190635084,-6.36895951892091,1.89084733647118e-06,0.000509210163625732,5.14001021862189
"SIRPA",-1.05153213712559,7.35286693415858,-6.34255983812744,2.01027859600145e-06,0.000531718802732058,5.08200911886189
"SERTM1",-2.34054095987553,4.9634082040582,-6.33795378596319,2.03189335324539e-06,0.000531718802732058,5.07188007757834
"SGCG",-1.75925452055288,5.99207167166437,-6.33363695488592,2.05236651271963e-06,0.000531718802732058,5.0623845342929
"PXK",-0.794432380655741,6.5599377986047,-6.29797531955197,2.22977169126801e-06,0.000564053922099873,4.98384826912806
"CTTN",0.654380674304877,6.08042355270568,6.29748940033503,2.232294312312e-06,0.000564053922099873,4.98277700654624
"IKZF5",-0.669192143042974,6.88559631346855,-6.28129714339306,2.31804448177861e-06,0.000578578248884913,4.94706192008778
"CD160",-1.4088355555354,6.08584771990694,-6.27147934211668,2.37166883134164e-06,0.000579661453811997,4.9253904221821
"GMPPA",0.775057125134629,7.54255922488781,6.26445126269343,2.41083279647751e-06,0.000579661453811997,4.90986924774703
"AGO4",-0.482606069322572,6.98844206534389,-6.26413454725319,2.41261317100278e-06,0.000579661453811997,4.90916964750808
"BAALC",-1.4428916266133,5.58994010371734,-6.26005410673936,2.43567132593109e-06,0.000579661453811997,4.90015511411411
"RNF38",-0.86265958439342,7.64225753482873,-6.23916250810257,2.55730378518526e-06,0.000601613064038927,4.8539678586994
"MNX1",0.745696299218305,6.20986491015766,6.21844590352726,2.68404923443978e-06,0.000624254950923624,4.80811250431838
"NEK3",-0.821221167495477,6.18793740459212,-6.2017995889152,2.79053012360685e-06,0.000637240565233427,4.77122711393598
"ZNF438",-0.813218805293864,6.83775753440291,-6.19727930911324,2.82018280964632e-06,0.000637240565233427,4.76120489993209
"LYPLA2",0.565884299659677,8.2990671396869,6.19529708887436,2.83328731305232e-06,0.000637240565233427,4.75680917447367
"P3H4",1.34265609353022,6.99793204421287,6.18452276118693,2.90561198842848e-06,0.000643141485893333,4.73290762465945
"RAPGEF1",-0.810680605233463,7.8555605670307,-6.182065292772,2.92237055690037e-06,0.000643141485893333,4.72745398281289
"RBL2",-0.958054035286155,8.72911719524224,-6.15813808243741,3.09079063240001e-06,0.00066851387247768,4.67431490891987
"XPR1",1.13496565603611,7.06837026215548,6.15645749249765,3.10298616726338e-06,0.00066851387247768,4.67057985992658
"TANK",-0.689030285692763,7.17415993081794,-6.14860014447277,3.16065960326477e-06,0.000673846042708543,4.65311252974225
"EVI2B",-1.34587086064854,9.92465085379183,-6.128427500066,3.31379130098808e-06,0.000699209964508485,4.60823250804281
"TMOD3",-1.23845978108129,6.90902052087327,-6.10861384450884,3.47157393279899e-06,0.000725027588597927,4.56410223901326
"S1PR1-DT",-1.2496828278009,5.48231099891764,-6.10145558130095,3.5304449877998e-06,0.000727870915744903,4.54814702342856
"TLR4",-2.05798307194169,7.35467560097726,-6.09621725393183,3.57417079005529e-06,0.000727870915744903,4.53646721990481
"GGCT",1.13094797504739,10.3534920956046,6.09411454302152,3.59187777838644e-06,0.000727870915744903,4.53177789973935
"ACAA2",-0.59661730097359,7.6610272052643,-6.08448890712048,3.67408537177319e-06,0.000737230444157665,4.51030458378087
"PIK3AP1",-1.63944053225989,7.68019913312153,-6.07610346777154,3.74726476550705e-06,0.000744614251996436,4.49158875882776
"ITGA4",-1.62581376224693,7.03993752020836,-6.0681008563067,3.81849007366167e-06,0.000744900503455125,4.47371942054731
"CRABP2",2.67075824280099,8.47188510134904,6.06776651035027,3.82149571812127e-06,0.000744900503455125,4.4729726776861
"RRAS",-1.34369765004489,9.56340096092349,-6.04359782014225,4.04528186455088e-06,0.000780923193860677,4.41895750724907
"CX3CR1",-1.09061160781376,6.67527104265404,-6.03969951662593,4.08261014037682e-06,0.000780923193860677,4.41023851163545
"RC3H2",-0.598945518152346,7.15186604666067,-6.02231646196958,4.25338612203785e-06,0.000799708915598839,4.3713371973208
"GMFG",-1.02029810314631,9.60795536182619,-6.02176050017462,4.25896671716781e-06,0.000799708915598839,4.3700924218949
"CNTN6",-1.32463865093671,5.56078815690849,-6.0169656492727,4.3074071128142e-06,0.000801451830708803,4.35935542109803
"RABEP1",-0.766428702569207,6.87211254085789,-6.01264557253376,4.35153211541209e-06,0.000802367637893146,4.3496792284149
"FGFR1OP2",-0.613045884226306,6.70229373805959,-5.99602467553956,4.52563936559296e-06,0.000816351129482937,4.31243077170562
"KLF11",-1.03801192115893,7.14153365675945,-5.99467738516517,4.54006006465289e-06,0.000816351129482937,4.30940997868069
"TRGV9",-1.57504381567943,7.20769689419279,-5.99402792037657,4.54702832662602e-06,0.000816351129482937,4.30795372109498
"FGD3",-0.763546790994258,7.14108426504412,-5.97986894981041,4.70168367805423e-06,0.000835589485391453,4.27619352383214
"ERLIN1",-1.24069415915107,7.98758874730653,-5.97321951082311,4.77615442448394e-06,0.000835589485391453,4.26126993953086
"MSTO1",0.803667429337172,7.19408957207567,5.97317442939868,4.7766633991694e-06,0.000835589485391453,4.26116874392131
"GIMAP5",-0.891576755615472,7.49723805980442,-5.95123856928046,5.03099959100183e-06,0.000872622615500292,4.21190051615739
"CD244",-0.421606750697703,5.52303317590547,-5.93905537312697,5.17817817869509e-06,0.000883240775792621,4.18451273415164
"CTHRC1",3.00887398001306,9.45486845838845,5.93776222714657,5.19405541455798e-06,0.000883240775792621,4.18160473809253
"TGFBR2",-2.03386279438772,9.28971539021516,-5.93528009725878,5.22467013797722e-06,0.000883240775792621,4.17602244204381
"SELPLG",-0.812848108448959,8.36064388962588,-5.93204607458279,5.26483483884789e-06,0.000883240775792621,4.16874807683276
"LINC00511",1.18098811453593,5.76055181182473,5.92342518575873,5.37344567912066e-06,0.000890329741703042,4.14935101846934
"SLC12A6",-0.652809801339521,7.23041370105802,-5.91065874050041,5.53849455226802e-06,0.000890329741703042,4.12061075834835
"ORMDL1",-0.828539379516352,7.71247914337461,-5.90950710028099,5.55363507197331e-06,0.000890329741703042,4.11801722911024
"SH2D3C",-1.08753021047703,6.81629399244661,-5.90903119662094,5.55990404641032e-06,0.000890329741703042,4.1169454351761
"NICOL1",1.20930840188833,7.95702790455355,5.90624055430823,5.59680994224303e-06,0.000890329741703042,4.11066004304368
"HLA-E",-0.745709891408202,12.3314644232987,-5.90585414905471,5.60193974006822e-06,0.000890329741703042,4.10978966851582
"GZMH",-1.4314484383214,8.48611822871652,-5.90297080441186,5.64036969312097e-06,0.000890329741703042,4.10329442196451
"GBP4",-1.71390274907942,7.16360892484791,-5.89779752862476,5.70999507111176e-06,0.000890329741703042,4.09163832521586
"EDNRB",-2.81835407979408,8.68883185281334,-5.89694728323547,5.72152174192041e-06,0.000890329741703042,4.08972231501011
"KIF26B",1.01840729689726,5.82910749339281,5.89048923370002,5.80985015070785e-06,0.000890329741703042,4.07516655604906
"SCRIB",0.769718788078348,8.33626426031019,5.88931162126477,5.82610580511285e-06,0.000890329741703042,4.07251183260761
"FRYL",-0.567729974523292,6.30701528190607,-5.88909509237989,5.82909978932954e-06,0.000890329741703042,4.07202368861007
"CYTH1",-0.702834723534639,7.87619436952807,-5.88447547984692,5.89335080103278e-06,0.000893475635886947,4.06160794245144
"COL10A1",3.7064333805255,7.16172934164424,5.87663711048362,6.00402454706074e-06,0.00089808662249759,4.04392941430983
"RTKN2",-1.51603637809396,5.03593832652979,-5.87338362836956,6.0505816621083e-06,0.00089808662249759,4.03658953056945
"CAVIN2",-3.07392193574637,8.84200637886471,-5.87304809372984,6.05540401156337e-06,0.00089808662249759,4.03583249375321
"CNTNAP3",-0.812772305161086,4.08216178441982,-5.85966276681581,6.25100736449072e-06,0.000920427105964256,4.00562206613253
"FHL1",-3.21830867407684,9.46113383835713,-5.84877800474087,6.41480654154329e-06,0.000936422048124408,3.98104058673924
"SLAIN2",-0.662952876700439,6.74975251062596,-5.84640186676793,6.45114129015203e-06,0.000936422048124408,3.97567270642617
"MAGED1",1.01662184287521,10.5930169074076,5.83726407059433,6.59283590611799e-06,0.000950250510496598,3.95502387077862
"EFNA3",0.473956294978873,6.60504155441883,5.82462041445575,6.79413735183078e-06,0.000972416847412032,3.92643754043476
"VEGFA",-1.274370004274,9.04115992610081,-5.8197899058706,6.87268706314042e-06,0.000976828375842326,3.91551148022959
"KNOP1",0.585713692655258,6.65103227683754,5.81278832552954,6.98818557832343e-06,0.000986394442976177,3.89967015294595
"PRKCH",-0.968132980412162,7.49699860242038,-5.80882433119527,7.05445005605348e-06,0.000988927597926347,3.89069909157905
"TENM4",1.31529381574852,5.76342695799853,5.80059155865012,7.1941254014678e-06,0.000999684136584869,3.87206171566257
"TRIM2",1.11568075534703,6.99355726648494,5.7985689921924,7.22886853053992e-06,0.000999684136584869,3.86748189281618
"MBD1",-0.33478641726191,6.85272260814287,-5.78821598343189,7.40940325935178e-06,0.00101258352743109,3.84403197042755
"NECAB1",-1.82372257940742,4.34907825548226,-5.78600868972261,7.44848364725795e-06,0.00101258352743109,3.83903087099185
"CLEC11A",1.05952717864286,7.12022296592657,5.78296977385028,7.50263153598417e-06,0.00101258352743109,3.83214469023909
"PDCD1LG2",-1.40905450478655,5.77595050022408,-5.78110323026478,7.53608836092107e-06,0.00101258352743109,3.82791460949374
"ARHGAP18",-0.924932235019474,8.82426773217099,-5.7792467307519,7.56951579112507e-06,0.00101258352743109,3.82370691832107
"EPAS1",-2.56178891971386,10.2556971268592,-5.76665956102189,7.80017145589988e-06,0.00103666304667469,3.79516875442329
"CLEC1A",-1.31915896840475,6.97292832855598,-5.76265998562069,7.87495004356976e-06,0.0010398490486564,3.78609718819463
"ZNF644",-1.30790768780012,7.78497885549013,-5.75591916618544,8.0026355830439e-06,0.00104993552870615,3.77080424776511
"GIMAP8",-1.66239797886688,7.00383007814866,-5.7311057917464,8.4910834497396e-06,0.00110692359850841,3.71446837788419
"ROCK1",-0.530700548855651,7.65745451769415,-5.72679168596641,8.57905212384438e-06,0.00111131303682736,3.70466706668557
"XDH",1.51062910235433,6.02899392257618,5.72125660486546,8.69327715012112e-06,0.0011190270656071,3.6920889321837
"RAB5A",-1.37463218230431,9.2588526837154,-5.70420058728798,9.05507884663743e-06,0.00114817124788492,3.65331003138025
"DPEP2",-1.37890696947202,7.63717900455722,-5.70352924407549,9.06962903685321e-06,0.00114817124788492,3.65178303254694
"QKI",-0.791976871532611,7.91570967637668,-5.70268396948121,9.08798271155312e-06,0.00114817124788492,3.64986035283198
"SPTBN1",-0.919329336592885,6.96239572147343,-5.69955102529902,9.15633929536035e-06,0.00114971040710516,3.64273344463952
"ZNF22",-0.994279896992976,8.61663150072942,-5.69302676214174,9.30037318487217e-06,0.00115732419269274,3.62788860958267
"SIL1",0.943873421656448,8.62485829097227,5.69169448839197,9.33006751328003e-06,0.00115732419269274,3.62485670994269
"CD83",-1.00124522845899,9.15851505603971,-5.6873243787612,9.42814912783868e-06,0.00115813175012664,3.61491022198808
"BLACAT1",1.42599681187331,5.20408441824293,5.68086197491041,9.57511513555086e-06,0.00115813175012664,3.60019801590204
"PRP4K",-0.764478591236843,8.23501353136884,-5.68071514481742,9.57848123432732e-06,0.00115813175012664,3.59986369503859
"SH3GL3",-0.383754082288939,5.13351597090753,-5.67907876129275,9.61607707528789e-06,0.00115813175012664,3.59613762569376
"WASHC4",-0.98809370140982,8.30591419357961,-5.67830997938364,9.63379158285085e-06,0.00115813175012664,3.59438700327588
"RAMP2",-2.06372614216187,8.25700958338656,-5.6764801031819,9.67608976751137e-06,0.00115813175012664,3.59021987946146
"RPN2",0.419452612623161,11.4137141495983,5.66729000594972,9.89139536426308e-06,0.00117701854023472,3.56928636645275
"FAM241B",0.656861470029286,7.19277337031747,5.64468259951915,1.04420124453211e-05,0.00123535646658028,3.51775397073345
"TRGC2",-0.833034546202198,5.53954251781228,-5.63648489512611,1.06492857027275e-05,0.00124070681498466,3.49905501353736
"COMP",2.6598365751969,6.55037650994353,5.63534629469311,1.06784033959282e-05,0.00124070681498466,3.49645733463932
"CFP",-1.50822992809909,7.7606317659751,-5.63413913564795,1.07093627485162e-05,0.00124070681498466,3.49370310007134
"B3GNT2",-1.10237654241777,6.93522386360941,-5.63334744113983,1.07297164338831e-05,0.00124070681498466,3.49189670365722
"CD300A",-0.661810832312753,6.59285603648341,-5.62751427290995,1.08808986863953e-05,0.00125111996300255,3.4785853323781
"RIPOR1",-1.0651094146118,7.59879016657343,-5.62029741988025,1.10709434646604e-05,0.00126142807184152,3.4621116901219
"KLRC3",-1.5884184039535,5.20175020117218,-5.61581721853645,1.11906166104895e-05,0.00126142807184152,3.45188230417562
"LINC01082",-0.617269664920133,5.66130998985529,-5.61522863902119,1.12064358957037e-05,0.00126142807184152,3.45053828695873
"FAM204A",-0.52629197500653,6.68987087118592,-5.61483320678812,1.12170767125204e-05,0.00126142807184152,3.44963530099947
"ABHD13",-1.19699296065322,6.70830736891075,-5.60582324251637,1.14623312194296e-05,0.00128196466157413,3.42905649652025
"MAGED4B",1.16067905112809,6.50427101954701,5.60166663870137,1.15773056637499e-05,0.00128297230836182,3.41956010243971
"MNDA",-2.07742212946265,9.90451873747234,-5.59886806234618,1.16553756789316e-05,0.00128297230836182,3.41316537524771
"CALCOCO1",-0.870985001793205,8.9153520339872,-5.59841629719569,1.16680283271854e-05,0.00128297230836182,3.41213302324523
"FGD5",-0.961965303820836,7.58188474383894,-5.59649194359564,1.1722080503428e-05,0.00128297230836182,3.40773535948634
"RHOF",-0.465179030444497,6.5460679717435,-5.58654835539003,1.20054622441456e-05,0.00130699891356876,3.38500584336515
"GALNT2",0.785437878249542,7.61017650271473,5.57220845464181,1.24264410803027e-05,0.00134180709981262,3.35221015050622
"KAT5",-0.581768568838324,8.48239132235709,-5.57120976435205,1.24563125501734e-05,0.00134180709981262,3.34992538343627
"PILRA",-1.41710577173075,7.70614928398814,-5.56672561155681,1.2591338183075e-05,0.00134925088268584,3.33966552221977
"PROM2",0.774270025959827,6.47784260410984,5.55737903953708,1.28775793014332e-05,0.001353316003869,3.3182741277946
"APOBR",-0.616997015213684,7.39624769332528,-5.55669875025442,1.28986696347906e-05,0.001353316003869,3.31671683182663
"KBTBD2",-1.39835285098376,8.17153401126243,-5.55586097605746,1.29246905328033e-05,0.001353316003869,3.3147989659934
"IGFL2",1.2982578131056,5.08364297852054,5.55509380108444,1.29485654180399e-05,0.001353316003869,3.31304266010239
"CPPED1",-1.07227500205257,7.45625254283118,-5.55338212331377,1.30019953273973e-05,0.001353316003869,3.30912388713438
"DIAPH2-AS1",-0.51951518838297,4.00230340699113,-5.55180072091438,1.3051557711305e-05,0.001353316003869,3.30550312357829
"PTPN12",-1.23041157468943,6.97848078011766,-5.55051078879702,1.30921272666274e-05,0.001353316003869,3.30254953174379
"LINC01996",-0.772665826717676,5.32995263163193,-5.54764534696749,1.31827069679267e-05,0.00135583147493746,3.29598788901062
"PIK3C3",-0.473695726331799,5.7884487180032,-5.53600852998949,1.35571489183559e-05,0.00138737083455995,3.26933249512978
"TIE1",-0.919187102323675,5.9996232852773,-5.53079376178862,1.37284339600614e-05,0.001396792574666,3.25738336836425
"UBL3",-1.03934042161491,10.0519150609037,-5.52906476353772,1.37857087058451e-05,0.001396792574666,3.25342097709037
"CCBE1",-1.37992278227455,5.83314774913404,-5.5259477585222,1.38895763015872e-05,0.00140038403036741,3.24627694782247
"GPN2",0.52588486480728,7.08706175738943,5.52216062390065,1.40168445949777e-05,0.0014062880310069,3.23759579325364
"RAMP3",-2.08031547579504,9.05254830998453,-5.51106953679047,1.43964196358498e-05,0.0014373244911558,3.21216430371455
"SH3BGRL",-1.32169538191078,10.9583447343066,-5.50412276806981,1.46394612566858e-05,0.00144886377822073,3.1962298044244
"S1PR1",-1.89723894829236,8.71687727520823,-5.50245814200515,1.46983164895796e-05,0.00144886377822073,3.19241082523498
"CD226",-0.622923517088768,5.02040077588626,-5.50172344038159,1.47243692710174e-05,0.00144886377822073,3.19072519444529
"CPED1",-0.918758013774045,8.03147017020612,-5.49590574152084,1.49323293587459e-05,0.00146229657887776,3.17737586252622
"ABCG1",-0.948709015484014,7.19019036499771,-5.48778843613052,1.52274845100467e-05,0.00146705944160948,3.15874467155906
"TLR8",-1.95388804358935,7.34158215646676,-5.48704233679122,1.52549090556266e-05,0.00146705944160948,3.15703189106087
"ARRB1",-0.962203413807226,7.9939982352351,-5.48655658674053,1.52727908235638e-05,0.00146705944160948,3.15591675337917
"DDX56",0.395613940424481,6.79804001906891,5.48601498674152,1.52927536673277e-05,0.00146705944160948,3.15467337556588
"XCL1",-1.30738655150887,7.28828466115688,-5.48216028135603,1.54356015253707e-05,0.00146705944160948,3.14582317007039
"ALOX5",-1.14878261027317,7.77553659274065,-5.4804105737776,1.55008884742478e-05,0.00146705944160948,3.14180548742913
"CYBRD1",-1.75557922773038,9.89527623879847,-5.47954262598437,1.55333781990328e-05,0.00146705944160948,3.13981240097345
"ZNF655",-0.826111293327288,7.43732321070237,-5.47898202746392,1.55543997082746e-05,0.00146705944160948,3.13852505083274
"HPCAL1",-1.288400191319,9.60490009456305,-5.47122764815133,1.58481558419433e-05,0.00148199717472142,3.12071510316504
"INSIG1",-1.31900608063455,8.56297932617063,-5.46870428792116,1.59449566534401e-05,0.00148199717472142,3.11491838477562
"YTHDF3",-1.19565451176798,8.95006924564196,-5.46302034798383,1.61652073386133e-05,0.00148199717472142,3.10185902475463
"SLC19A3",-1.91721477503226,5.84775149805419,-5.46293821935835,1.61684123225878e-05,0.00148199717472142,3.10167030573712
"PNRC2",-1.07790385872119,9.60603609206223,-5.46221319543943,1.6196733614135e-05,0.00148199717472142,3.10000428557726
"MAP3K1",-0.749644538923411,7.36532401961365,-5.46144989466189,1.62266045026183e-05,0.00148199717472142,3.09825025901289
"B4GALT2",0.577848853462717,6.84676332428872,5.45985795315021,1.62890832985724e-05,0.00148199717472142,3.09459189089601
"CALCRL",-2.77958050403546,7.69277449722574,-5.45796765143389,1.63635889591433e-05,0.00148199717472142,3.09024758180519
"GTF2H4",0.506936481487291,6.93007174361275,5.45794565484363,1.63644579805072e-05,0.00148199717472142,3.09019702716488
"SPRED1",-0.900119583482462,7.93939241421947,-5.45584563288483,1.64476397869376e-05,0.00148296847365309,3.08537036045415
"EPB41L2",-0.860273899200982,7.43371368930665,-5.44993609222665,1.66840264922269e-05,0.00149006502883368,3.07178584028161
"GNA13",-1.15066894479739,8.72893804565966,-5.4481997317084,1.67541355460665e-05,0.00149006502883368,3.06779380500496
