"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CD274",-1.2673506296632,7.49692772133823,-4.2127837332734,0.000345993936655331,0.0076365440209887,0.186550349891491
"ODAM",-1.14033931229039,5.48589145582484,-4.20958412391993,0.000348733742328997,0.00765176785617749,0.179067392412295
"TMCC3",-1.15336581519044,7.16654162353462,-4.20454484541955,0.000353092763995753,0.0076986727527096,0.167282850722803
"NCF2",-1.50749634150381,9.70992347717605,-4.20185335768024,0.000355443131346565,0.00773920698858527,0.160989146405783
"SH3GL2",-1.3009855390271,4.53787818420434,-4.1988964009246,0.000358043301873521,0.00774919344721893,0.154075034516589
"PROS1",-1.13531982534057,9.76318721167555,-4.19799718103855,0.000358837774566391,0.00774919344721893,0.151972506199545
"CLEC10A",-1.00010177498039,7.46818621249138,-4.19749199265428,0.00035928488573579,0.00774919344721893,0.150791305648212
"PREX1",-1.11892119368965,8.47133208621312,-4.17994922717062,0.000375160089672491,0.00799691640770045,0.109780914380793
"PEG10",-2.03237536895488,7.59658405771444,-4.17903346896219,0.00037600772931909,0.00799974032845511,0.107640494922185
"ARHGEF26",-2.09430585339899,6.8317310909425,-4.17728932906443,0.000377627412452381,0.00800235890940609,0.103563990448579
"C1orf162",-1.05279649728709,9.60512634663827,-4.17550449180876,0.000379292084500028,0.00802789151340443,0.099392512571872
"IRF1",-1.27460689686404,8.88941118925192,-4.1739806802266,0.000380719087873697,0.00804146292209593,0.0958312156656209
"TMEM30A",-1.59389250817146,9.42716977082386,-4.168517833172,0.000385878970924727,0.00808491552997686,0.0830649101738068
"OTULINL",-1.11028627123,6.84797616275711,-4.16721048092198,0.000387124112610718,0.00810150226258033,0.0800099273610213
"ITGB2",-1.08321171418414,9.10367778469404,-4.16524317658589,0.000389005347921952,0.0081325561347483,0.0754129429027843
"CAV1",-2.27846210921132,11.59133323773,-4.16176599416527,0.000392352699326634,0.00817747728830776,0.0672882977761384
"MFSD6",-1.47724036926249,8.07782166097546,-4.15413220541958,0.000399802406958208,0.00827376730355271,0.0494535800536395
"AGTR1",-1.70155983736759,6.4734887602273,-4.15177286823385,0.000402133218859803,0.00828704888036929,0.0439420807680087
"WFS1",-1.03435391167276,8.47856047734792,-4.14948858053903,0.000404402778300656,0.0083101522725698,0.0386061679543586
"LIFR",-1.26120982734916,7.27689658003175,-4.1349302025429,0.000419169913057254,0.00850262696783232,0.00460528377793512
"RHOA",-1.53708270964241,11.8018398386411,-4.1273360432358,0.000427084731268431,0.00856135474522132,-0.0131263245725988
"GNG11",-1.47098975567037,7.76113988519985,-4.12419008714574,0.00043040692944287,0.00861108369981156,-0.0204709052743395
"NRBF2",-1.20806017866245,7.94372714070805,-4.11858471664799,0.000436390176296222,0.00869678455526269,-0.0335559107197589
"B3GALNT1",-1.77920133231357,6.50774696372184,-4.11768826484199,0.000437354706999397,0.00869849890952066,-0.0356483986496041
"FBLN5",-1.71812424905445,9.38614798369013,-4.11729810547349,0.000437775158276036,0.00869849890952066,-0.0365590903278097
"KCTD12",-1.03860478018149,10.6839008392257,-4.11444811667084,0.000440858641811483,0.00871655375568005,-0.0432111414250116
"ITLN1",-1.28160610939945,5.67743116561753,-4.1124851254461,0.000442995014685169,0.00874327769099455,-0.04779261878629
"CD36",-1.7005966841008,6.77509306498589,-4.11176633308982,0.000443779868007886,0.00874468505986899,-0.0494701727588325
"CD46",-1.35464862238486,9.95208644707136,-4.09635017501031,0.000460949816992525,0.0089593326628499,-0.0854420177045778
"CLIC2",-1.55793594734498,9.31229918965663,-4.07426436403939,0.000486705399143544,0.00923206617634006,-0.136952034823652
"ANGPTL1",-1.41314400164713,6.32547315180086,-4.06200309384892,0.000501616399194387,0.00942177199246548,-0.165535473596959
"CORO2B",-1.28424185167889,5.85634558176096,-4.06021032495867,0.000503834308640854,0.00943456248394543,-0.169713961753364
"FBP1",-1.26819164949933,10.8156198864566,-4.05436029080892,0.000511139630472302,0.0095202396940922,-0.183347441985918
"LRRC32",-1.47974321400296,9.57655341101586,-4.05104156192177,0.000515330632524622,0.00954574814660644,-0.19108072245854
"ABCG2",-1.32949299521178,7.01076170626922,-4.04590735764675,0.000521881634175679,0.00961417768377463,-0.203042963831267
"HSD11B1",-1.52891331976473,8.46551433489449,-4.04511808357191,0.000522896020589422,0.00962420220629828,-0.204881745366219
"VSIG4",-1.65740303763853,10.4905297894616,-4.04207072657504,0.000526830940158344,0.00967610152080572,-0.211980814567784
"DUSP1",-1.15478934568329,9.61806322972786,-4.04101482486704,0.000528201230168431,0.00967832997122406,-0.214440477288144
"AQP9",-2.01073551266599,8.26104915332123,-4.04013130517221,0.000529350532447317,0.00968916742902659,-0.216498527461498
"THBD",-1.46824329029098,8.39885713382102,-4.02853432653198,0.000544668402862013,0.00985455847511501,-0.243507264354331
"CSF3R",-1.24456226900233,8.38701479671259,-4.02583216579042,0.000548300315009466,0.0098865066334825,-0.249799101200263
"ROBO4",-1.29233050029007,8.04801676357495,-4.02168643106223,0.000553919301764114,0.00992886525026704,-0.25945121682076
"RCSD1",-1.28306691255021,7.82794973158296,-4.02013627442294,0.000556034984514044,0.0099564564878009,-0.263059982536303
"IL1B",-1.73603672907657,8.20263558437807,-4.00559808047847,0.000576271508642863,0.0101240763668613,-0.296896432767386
"ZC3H12C",-1.10538772452249,7.49822774718741,-3.9829766187669,0.000609222248816329,0.0105669082767151,-0.349514653284447
"TENT5B",-1.45144201408766,7.68623992950697,-3.979274782562,0.000614789564898813,0.0106336942977036,-0.358121490321849
"VASP",-1.03247123523477,9.31330246496424,-3.97634020515546,0.00061923880772216,0.0106611012954546,-0.364943671259332
"ACKR4",-1.66385175628727,6.06007391860951,-3.97496289573416,0.0006213380046953,0.010677518843072,-0.368145346978822
"RNF182",-1.19622204554218,5.7986980620923,-3.97104215156175,0.000627352442346086,0.0107358047136265,-0.377258632410024
"CST7",-1.03420328118098,9.04802773623954,-3.96282128198179,0.000640151358642852,0.0108570905910825,-0.396363020916254
"RESF1",-1.2067620761721,7.615850910017,-3.9627104068081,0.000640325735750093,0.0108570905910825,-0.396620645104423
"LAPTM5",-1.04673886790319,11.8030689056973,-3.95296315181898,0.000655841051067432,0.0110751640199646,-0.419264954004046
"SLC31A2",-1.22210905629818,9.02130332361143,-3.95018076871077,0.000660337919664375,0.0111047280181127,-0.425727397205335
"GIMAP2",-1.49339494465211,8.65825770305764,-3.9411872265783,0.000675083291301695,0.0112332761976193,-0.44661160936574
"CTNNAL1",-1.13081430353962,9.47952693666207,-3.93966257917079,0.00067761517597256,0.0112662467966128,-0.450151365631261
"FGF7",-1.69845835235177,6.03697714815399,-3.93689023482912,0.000682243165594329,0.0113064541459264,-0.456587375952156
"KL",-1.71002282176287,5.19033844528406,-3.93564911276991,0.000684325158295537,0.0113273003668344,-0.459468432759293
"SLC1A1",-2.08404133703135,8.00200440505965,-3.93548083346646,0.000684607932465638,0.0113273003668344,-0.459859054742395
"MS4A2",-1.43302329776022,5.74693750063952,-3.93350649620262,0.00068793424090177,0.0113475872686912,-0.464441845404767
"SH3BP5",-1.2148221685921,9.98442489002725,-3.92293595487785,0.000706017421831686,0.0115231727054459,-0.488972195378675
"SH2B3",-1.01695537776072,8.41366811737653,-3.91528971234347,0.000719390675831251,0.0116680671331843,-0.50671017614141
"FCER1G",-1.70721125570862,10.5553237164344,-3.91151937345176,0.000726077034867554,0.0117197308143803,-0.515454793959155
"TRPC6",-1.20378156273075,6.34674822636955,-3.90537903332052,0.000737098340591148,0.0118423977657208,-0.529693445195969
"CCL2",-2.39011706278224,10.5284103820691,-3.90459022506339,0.000738526127013288,0.0118423977657208,-0.531522339924826
"CDKN2B",-1.07349551201869,6.27644530062273,-3.90438782751288,0.000738892918960215,0.0118423977657208,-0.531991600435933
"CCDC68",-1.36408802731986,7.55535860930627,-3.89448693726851,0.000757057574913306,0.0120769270348797,-0.554942288623704
"KLF6",-1.14382370122203,10.1710852858992,-3.89044427646712,0.000764600901119086,0.0121247097384346,-0.564310726367514
"M6PR",-1.06199996417689,9.32777624908482,-3.88388800557807,0.000776992901588563,0.0122706124358126,-0.579500912629908
"MFAP4",-1.76561093817864,10.0191415355688,-3.88063820950701,0.000783208804460478,0.0122928946325863,-0.587028830751209
"TMEM139",-1.32568134414995,6.62638710614963,-3.87561896775537,0.000792905948171298,0.0123975600009335,-0.598653549719101
"CLEC2B",-1.11397245557941,8.47927457055533,-3.8724701270947,0.000799050027421023,0.0124745666752297,-0.605945118491887
"VEPH1",-1.01036411946361,5.90070636217047,-3.87094688533557,0.000802039086347981,0.0125019173105818,-0.609472045795679
"CD302",-1.10390863233669,10.6079841818331,-3.87051722391277,0.000802884209668456,0.0125019173105818,-0.610466846675379
"ADRB2",-1.42490733984307,8.32150751499191,-3.86395699350708,0.000815897808007617,0.0126050884330756,-0.62565358741911
"MED21",-1.33933240522603,8.12208242595597,-3.86358167041774,0.000816648617885293,0.0126050884330756,-0.626522321097833
"AQP1",-1.92413520085382,11.0438653815674,-3.85424542420756,0.000835546671258638,0.0128002497909061,-0.64812775484934
"MIR3945HG",-1.17699667275445,6.0137101462981,-3.85069609173397,0.000842843987247463,0.0128755072302717,-0.656339133055835
"THEMIS2",-1.26208102138961,8.80125964801084,-3.84705458180677,0.000850396306277042,0.0129213520419987,-0.664762437087192
"CD93",-1.56570613864703,9.86279578398093,-3.84339656808098,0.000858050208102204,0.012983602332335,-0.673222555017094
"ADRB1",-1.35423206126488,5.90704442078661,-3.84316350515757,0.000858540162115237,0.012983602332335,-0.673761527815372
"MAT2A",-1.10263667227861,9.32209481973521,-3.8409904783942,0.000863121715179431,0.0130084772787757,-0.678786521298898
"TNNC1",-2.33086812058197,7.88397012406962,-3.839333162797,0.00086663219386614,0.0130398928482358,-0.682618636648979
